candidate,party,runoff,special,state,votes,year
"Shelby, Richard C.",Democratic,False,False,ALABAMA,1022698,1992
"Sellers, Richard",Republican,False,False,ALABAMA,522015,1992
"Shockley, Jerome",Libertarian,False,False,ALABAMA,31811,1992
,Write-In,False,False,ALABAMA,1275,1992
"Murkowski, Frank",Republican,False,False,ALASKA,127163,1992
"Smith, Tony",Democratic,False,False,ALASKA,92065,1992
"Jordan, Mary E.",Green,False,False,ALASKA,20019,1992
,Write-In,False,False,ALASKA,467,1992
"McCain, John",Republican,False,False,ARIZONA,771395,1992
"Sargent, Claire",Democratic,False,False,ARIZONA,436321,1992
"Mecham, Evan",Independent,False,False,ARIZONA,145361,1992
"Delamare, Kiana",Libertarian,False,False,ARIZONA,22613,1992
"Finkelstein, Ed",New Alliance,False,False,ARIZONA,6335,1992
Robert B. Winn,Write-In,False,False,ARIZONA,26,1992
"Bumpers, Dale",Democratic,False,False,ARKANSAS,553635,1992
"Huckabee, Mike",Republican,False,False,ARKANSAS,366373,1992
"Boxer, Barbara",Democratic,False,False,CALIFORNIA,5173467,1992
"Herschensohn, Bruce",Republican,False,False,CALIFORNIA,4644182,1992
"McCready, Jerome ""Jerry""",American Independent,False,False,CALIFORNIA,373051,1992
"Torres, Genevieve",Peace & Freedom,False,False,CALIFORNIA,372817,1992
"Genis, June R.",Libertarian,False,False,CALIFORNIA,235919,1992
"Britton, Joel",Write-In,False,False,CALIFORNIA,110,1992
"Cortese, John",Write-In,False,False,CALIFORNIA,101,1992
"Bell, Robert L.",Write-In,False,False,CALIFORNIA,56,1992
"Feinstein, Dianne",Democratic,False,True,CALIFORNIA,5853651,1992
"Seymour, John",Republican,False,True,CALIFORNIA,4093501,1992
"Horne, Gerald",Peace & Freedom,False,True,CALIFORNIA,305697,1992
"Meeuwenberg, Paul",American Independent,False,True,CALIFORNIA,281973,1992
"Boddie, Richard B.",Libertarian,False,True,CALIFORNIA,247799,1992
"Swanson, Joe R.",Write-In,False,True,CALIFORNIA,85,1992
"Carroll, Jerry Leon",Write-In,False,True,CALIFORNIA,37,1992
"Campbell, Ben Nighthorse",Democratic,False,False,COLORADO,803725,1992
"Considine, Terry",Republican,False,False,COLORADO,662893,1992
"Grimes, Richard O.",Perot's Independents,False,False,COLORADO,42455,1992
"Noah, Matt",Christian Pro—Life,False,False,COLORADO,22846,1992
"Winters, Dan",Independent,False,False,COLORADO,20347,1992
"Futch, Hue",Write-In,False,False,COLORADO,23,1992
"Dodd, Christopher J.",Democratic,False,False,CONNECTICUT,882569,1992
"Johnson, Brook S.",Republican,False,False,CONNECTICUT,572036,1992
"Gregory, Richard D.",Concerned Citizens,False,False,CONNECTICUT,35315,1992
"Grayson, Howard A., Jr.",Libertarian,False,False,CONNECTICUT,10741,1992
"DiCandia, Clarisse G.",Write-In,False,False,CONNECTICUT,41,1992
"Wilkin, Will",Write-In,False,False,CONNECTICUT,6,1992
"Rumbin, Peter R. (Eric)",Write-In,False,False,CONNECTICUT,1,1992
"Graham, Bob",Democratic,False,False,FLORIDA,3245565,1992
"Grant, Bill",Republican,False,False,FLORIDA,1716505,1992
"Evans, Charles R.",Write-In,False,False,FLORIDA,86,1992
"Wiechart, Wayne",Write-In,False,False,FLORIDA,71,1992
"Fein, Dan",Write-In,False,False,FLORIDA,63,1992
"Fowler, Wyche, Jr.",Democratic,False,False,GEORGIA,1108416,1992
"Coverdell, Paul",Republican,False,False,GEORGIA,1073282,1992
"Hudson, Jim",Libertarian,False,False,GEORGIA,69878,1992
"Zarate, Miguel",Write-In,False,False,GEORGIA,8,1992
"Williams, Mitchell",Write-In,False,False,GEORGIA,3,1992
"Coverdell, Paul",Republican,True,False,GEORGIA,635114,1992
"Fowler, Wyche, Jr.",Democratic,True,False,GEORGIA,618877,1992
"Inouye, Daniel K.",Democratic,False,False,HAWAII,208266,1992
"Reed, Rick",Republican,False,False,HAWAII,97928,1992
"Martin, Linda B.",Green,False,False,HAWAII,49921,1992
"Rowland, Richard O.",Libertarian,False,False,HAWAII,7547,1992
"Kempthorne, Dirk",Republican,False,False,IDAHO,270468,1992
"Stallings, Richard H.",Democratic,False,False,IDAHO,208036,1992
"Shepherd, David W.",Write-In,False,False,IDAHO,18,1992
"Moseley—Braun, Carol",Democratic,False,False,ILLINOIS,2631229,1992
"Williamson, Richard S.",Republican,False,False,ILLINOIS,2126833,1992
"Koppie, Chad",The Conservative Party of Illinois,False,False,ILLINOIS,100422,1992
"Spiegel, Andrew B.",Libertarian,False,False,ILLINOIS,34527,1992
"Winter, Charles A.",Natural Law,False,False,ILLINOIS,15118,1992
"Port, Alan J.",New Alliance,False,False,ILLINOIS,12689,1992
"Kaku, Kathleen",Socialist Workers,False,False,ILLINOIS,10056,1992
"Justice, John",Populist,False,False,ILLINOIS,8656,1992
"Torgersen, Don A.",Write-In,False,False,ILLINOIS,26,1992
"Conn, Roe",Write-In,False,False,ILLINOIS,1,1992
"Feiss, Walter A.",Write-In,False,False,ILLINOIS,1,1992
"Coats, Daniel R.",Republican,False,False,INDIANA,1267972,1992
"Hogsett, Joseph H.",Democratic,False,False,INDIANA,900148,1992
"Dillon, Steve",Libertarian,False,False,INDIANA,35733,1992
"Tirado, Raymond",New Alliance,False,False,INDIANA,7474,1992
"Plemons, John L.",Write-In,False,False,INDIANA,78,1992
"Irey, Georgia D.",Write-In,False,False,INDIANA,21,1992
